training_step,loss,epsilon,memory_size,timestamp
0,327.8454895019531,1.0,32,2026-02-05T21:51:43.675494
0,328.1053161621094,1.0,34,2026-02-05T21:51:49.326582
0,343.1722412109375,1.0,36,2026-02-05T21:51:55.062567
0,355.36456298828125,1.0,38,2026-02-05T21:52:06.466669
0,321.340576171875,1.0,40,2026-02-05T21:52:15.203727
0,303.82781982421875,1.0,42,2026-02-05T21:52:21.203609
0,302.39105224609375,1.0,44,2026-02-05T21:52:26.225566
0,315.2454528808594,1.0,46,2026-02-05T21:52:34.884290
0,279.3085632324219,1.0,48,2026-02-05T21:52:39.961943
0,298.4024658203125,1.0,50,2026-02-05T21:52:47.276739
0,308.00469970703125,1.0,52,2026-02-05T21:52:51.688815
0,308.5804138183594,1.0,54,2026-02-05T21:52:55.912730
0,352.5723571777344,1.0,56,2026-02-05T21:53:00.618893
0,378.7486572265625,1.0,58,2026-02-05T21:53:04.774465
0,361.71826171875,1.0,60,2026-02-05T21:53:10.074699
0,398.95050048828125,1.0,62,2026-02-05T21:53:14.469026
0,423.2182922363281,1.0,64,2026-02-05T21:53:18.993561
0,470.4593505859375,1.0,66,2026-02-05T21:53:23.694674
0,428.6891784667969,1.0,68,2026-02-05T21:53:27.579623
0,454.03985595703125,1.0,70,2026-02-05T21:53:31.555010
0,424.636474609375,1.0,72,2026-02-05T21:53:35.687311
0,457.476318359375,1.0,74,2026-02-05T21:53:41.044826
0,266.9871826171875,1.0,32,2026-02-05T22:15:56.609456
0,266.9871520996094,1.0,34,2026-02-05T22:15:58.640646
0,249.5639190673828,1.0,36,2026-02-05T22:16:00.839913
0,251.7792205810547,1.0,38,2026-02-05T22:16:03.296104
0,234.81935119628906,1.0,40,2026-02-05T22:16:06.177090
0,212.542724609375,1.0,42,2026-02-05T22:16:07.689834
0,199.2602996826172,1.0,44,2026-02-05T22:16:10.154728
0,218.15206909179688,1.0,46,2026-02-05T22:16:12.128726
0,228.5518035888672,1.0,48,2026-02-05T22:16:13.893872
0,202.85763549804688,1.0,50,2026-02-05T22:16:16.701424
0,240.2183074951172,1.0,52,2026-02-05T22:16:19.554818
