episode,total_steps,total_reward,average_reward,minerals_collected,exploration_rate,epsilon,memory_size,loss_avg,timestamp
0,0,0,0,0,0.0,1.0,50,0,2026-02-05T21:52:47.394939
0,0,0,0,0,0.0,1.0,50,0,2026-02-05T22:16:16.736543
0,0,0,0,0,1.9820956648050503,0.9801790433519495,50,0,2026-02-05T22:36:07.630497
0,0,0,0,0,1.9820956648050503,0.9801790433519495,50,0,2026-02-05T23:11:35.914610
1,0,0,0,0,6.7671532525196305,0.9323284674748037,100,0,2026-02-05T23:15:51.349613
2,0,0,0,0,11.31861294530838,0.8868138705469162,150,0,2026-02-05T23:20:25.254779
3,0,0,0,0,15.647878571759222,0.8435212142824078,200,0,2026-02-05T23:24:58.190867
4,0,0,0,0,19.765797246083473,0.8023420275391653,250,0,2026-02-05T23:29:43.262909
5,0,0,0,0,23.682686545909103,0.763173134540909,300,0,2026-02-05T23:34:32.917160
6,0,0,0,0,23.83532117281728,0.7616467882718272,302,0,2026-02-05T23:34:52.841600
7,0,0,0,0,27.55354364257675,0.7244645635742325,352,0,2026-02-05T23:40:31.854634
8,0,0,0,0,27.698436555291593,0.723015634447084,354,0,2026-02-05T23:40:45.691429
9,0,0,0,0,31.228068688433474,0.6877193131156653,404,0,2026-02-05T23:46:08.801086
10,0,0,0,0,34.58539053668318,0.6541460946331682,454,0,2026-02-05T23:50:13.389085
11,0,0,0,0,34.71621975560981,0.6528378024439019,456,0,2026-02-05T23:50:19.106701
12,0,0,0,0,34.84678731609859,0.6515321268390141,458,0,2026-02-05T23:50:38.618674
13,0,0,0,0,38.0274498372125,0.619725501627875,508,0,2026-02-05T23:56:35.718178
14,0,0,0,0,38.15139493753807,0.6184860506246193,510,0,2026-02-05T23:56:52.826950
15,0,0,0,0,41.17073246521702,0.5882926753478298,560,0,2026-02-06T00:03:18.664908
16,0,0,0,0,44.042671371749286,0.5595732862825071,610,0,2026-02-06T00:08:57.417966
17,0,0,0,0,46.77440739239698,0.5322559260760302,660,0,2026-02-06T00:14:46.122510
18,0,0,0,0,46.88085857761218,0.5311914142238782,662,0,2026-02-06T00:14:58.611945
19,0,0,0,0,46.98709686045696,0.5301290313954304,664,0,2026-02-06T00:15:11.956932
20,0,0,0,0,49.575091330805634,0.5042490866919437,714,0,2026-02-06T00:20:27.275370
21,0,0,0,0,52.03674457134228,0.47963255428657714,764,0,2026-02-06T00:26:02.867333
22,0,0,0,0,52.1326710821996,0.478673289178004,766,0,2026-02-06T00:26:11.040015
23,0,0,0,0,52.2284057400352,0.477715942599648,769,0,2026-02-06T00:26:23.749128
24,0,0,0,0,54.560528948966,0.45439471051033997,819,0,2026-02-06T00:31:58.130061
25,0,0,0,0,56.77880210231698,0.43221197897683017,869,0,2026-02-06T00:37:04.255145
26,0,0,0,0,56.86524449811235,0.4313475550188765,872,0,2026-02-06T00:37:16.069745
27,0,0,0,0,56.95151400911613,0.4304848599088387,874,0,2026-02-06T00:37:34.737952
28,0,0,0,0,58.308593897189255,0.4169140610281074,906,0,2026-02-06T00:40:42.220974
29,0,0,0,0,59.29825416017855,0.4070174583982145,931,0,2026-02-06T00:43:20.313480
30,0,0,0,0,59.379657651858196,0.4062034234814181,934,0,2026-02-06T00:43:36.194698
31,0,0,0,0,59.46089833655448,0.40539101663445526,937,0,2026-02-06T00:43:51.307463
32,0,0,0,0,60.973967214285075,0.3902603278571493,976,0,2026-02-06T00:48:30.573612
33,0,0,0,0,61.59403026320791,0.38405969736792095,993,0,2026-02-06T00:50:34.358750
34,0,0,0,0,61.97655679119269,0.3802344320880731,1000,0,2026-02-06T00:52:01.018009
35,0,0,0,0,63.83279281940991,0.3616720718059009,1000,0,2026-02-06T00:57:41.041869
36,0,0,0,0,63.90512723377108,0.3609487276622891,1000,0,2026-02-06T00:57:51.389365
37,0,0,0,0,63.97731697930355,0.3602268302069645,1000,0,2026-02-06T00:58:04.737092
38,0,0,0,0,64.76193837576764,0.35238061624232353,1000,0,2026-02-06T01:00:44.829942
39,0,0,0,0,66.14499857076554,0.33855001429234466,1000,0,2026-02-06T01:05:30.344073
40,0,0,0,0,66.88240501224125,0.3311759498775874,1000,0,2026-02-06T01:07:58.526300
41,0,0,0,0,68.4991463643223,0.3150085363567769,1000,0,2026-02-06T01:14:08.406957
42,0,0,0,0,70.03696131487888,0.2996303868512112,1000,0,2026-02-06T01:20:15.605371
43,0,0,0,0,70.09688739224913,0.29903112607750876,1000,0,2026-02-06T01:20:25.033818
44,0,0,0,0,70.15669361746463,0.29843306382535373,1000,0,2026-02-06T01:20:40.172351
45,0,0,0,0,70.21638023022969,0.29783619769770303,1000,0,2026-02-06T01:20:56.539981
46,0,0,0,0,71.67036291569477,0.28329637084305226,1000,0,2026-02-06T01:26:47.851252
47,0,0,0,0,73.05336478465823,0.26946635215341774,1000,0,2026-02-06T01:32:25.218190
48,0,0,0,0,73.1072580550889,0.2689274194491109,1000,0,2026-02-06T01:32:31.769657
49,0,0,0,0,73.53454195698632,0.2646545804301368,1000,0,2026-02-06T01:34:18.028302
50,0,0,0,0,74.82653796200185,0.25173462037998157,1000,0,2026-02-06T01:39:49.429513
51,0,0,0,0,74.87688488607785,0.2512311511392216,1000,0,2026-02-06T01:40:06.598152
52,0,0,0,0,74.92713111630569,0.25072868883694316,1000,0,2026-02-06T01:40:14.038590
53,0,0,0,0,74.97727685407307,0.2502272314592693,1000,0,2026-02-06T01:40:22.086854
54,0,0,0,0,75.02732230036493,0.24972677699635074,1000,0,2026-02-06T01:40:33.566541
55,0,0,0,0,75.42409936349165,0.24575900636508355,1000,0,2026-02-06T01:42:18.225602
56,0,0,0,0,76.4359025838029,0.2356409741619709,1000,0,2026-02-06T01:47:12.997166
57,0,0,0,0,77.58625938752957,0.22413740612470434,1000,0,2026-02-06T01:52:00.452995
58,0,0,0,0,77.63108686875451,0.22368913131245494,1000,0,2026-02-06T01:52:06.606968
59,0,0,0,0,78.24933893349288,0.21750661066507115,1000,0,2026-02-06T01:54:17.370288
60,0,0,0,0,78.29284025562589,0.21707159744374102,1000,0,2026-02-06T01:54:29.333611
61,0,0,0,0,78.89280218729522,0.21107197812704787,1000,0,2026-02-06T01:56:46.550515
62,0,0,0,0,78.93501658292062,0.21064983417079378,1000,0,2026-02-06T01:56:57.848750
63,0,0,0,0,78.97714654975478,0.21022853450245219,1000,0,2026-02-06T01:57:08.719758
64,0,0,0,0,79.80227342825235,0.2019772657174765,1000,0,2026-02-06T02:00:30.942257
65,0,0,0,0,80.63382483670418,0.1936617516329582,1000,0,2026-02-06T02:03:48.535697
