episode,step,position_x,position_y,mineral_type,concentration,reward_earned,timestamp
0,0,62,36,-1,5.2324991243481636,523.2499124348163,2026-02-04T11:56:53.183715
0,0,61,37,-1,2.4305565714883803,243.05565714883804,2026-02-04T11:56:54.178324
0,0,90,29,-1,5.23994095132576,523.994095132576,2026-02-04T14:27:51.020972
2,35,85,51,-1,0.604238222360611,60.4238222360611,2026-02-05T23:15:51.469776
2,36,85,52,-1,0.6278583577656746,62.78583577656746,2026-02-05T23:16:03.057366
2,37,88,53,-1,0.526708332067728,52.670833206772805,2026-02-05T23:16:14.806690
2,48,93,55,-1,0.6221696268652908,62.21696268652907,2026-02-05T23:18:13.594157
2,54,97,50,-1,0.5045036141239946,50.45036141239946,2026-02-05T23:19:21.777205
3,66,12,9,-1,0.5373923076923076,53.739230769230765,2026-02-05T23:21:35.767899
3,67,11,8,-1,0.5225771428571429,52.257714285714286,2026-02-05T23:21:47.368548
4,90,74,64,-1,0.6023872727272728,60.238727272727274,2026-02-05T23:25:43.776899
4,91,75,64,-1,0.5796800000000001,57.968,2026-02-05T23:25:55.364604
4,91,76,63,-1,0.5604692307692308,56.04692307692308,2026-02-05T23:25:55.788418
4,92,77,63,-1,0.5440057142857142,54.400571428571425,2026-02-05T23:26:05.454580
4,93,79,62,-1,0.6721139639924197,67.21139639924198,2026-02-05T23:26:14.203495
4,93,78,61,-1,0.5210937710382108,52.109377103821075,2026-02-05T23:26:14.781294
4,94,79,60,-1,0.6963894364443961,69.6389436444396,2026-02-05T23:26:23.886679
4,94,80,61,-1,0.519276090579596,51.9276090579596,2026-02-05T23:26:24.771766
5,110,70,26,-1,0.5541613867580891,55.41613867580891,2026-02-05T23:29:43.356936
5,110,70,27,-1,0.6030825654459,60.308256544589995,2026-02-05T23:29:43.820948
5,112,71,27,-1,0.510414194611311,51.0414194611311,2026-02-05T23:30:02.795383
5,115,72,27,-1,0.7932963636363636,79.32963636363635,2026-02-05T23:30:29.793459
5,116,73,28,-1,0.75468,75.468,2026-02-05T23:30:45.391009
5,117,73,27,-1,0.6939857142857143,69.39857142857143,2026-02-05T23:30:54.701992
5,122,70,25,-1,0.5273461297037241,52.7346129703724,2026-02-05T23:31:43.939001
5,124,71,24,-1,0.5027896172446686,50.27896172446687,2026-02-05T23:32:08.799479
5,129,76,26,-1,0.6666181134198618,66.66181134198618,2026-02-05T23:33:12.810951
7,136,27,18,-1,0.5867634138166905,58.67634138166905,2026-02-05T23:34:53.056052
7,136,28,19,-1,0.5488637844514846,54.886378445148466,2026-02-05T23:34:53.835180
7,137,29,19,-1,0.5249261840069294,52.49261840069294,2026-02-05T23:35:08.359576
7,138,31,20,-1,0.6202229171562195,62.02229171562195,2026-02-05T23:35:21.343607
7,141,33,23,-1,1.0115181818181818,101.15181818181819,2026-02-05T23:36:03.818533
7,142,33,22,-1,0.62322,62.322,2026-02-05T23:36:21.114949
7,142,33,21,-1,0.9066430769230769,90.66430769230769,2026-02-05T23:36:22.177623
7,143,34,20,-1,0.8654542857142857,86.54542857142857,2026-02-05T23:36:38.129504
7,143,33,20,-1,0.7013164830249152,70.13164830249153,2026-02-05T23:36:38.874852
7,144,34,19,-1,0.7599540423151049,75.99540423151049,2026-02-05T23:36:49.841004
7,144,34,18,-1,0.763533869009632,76.3533869009632,2026-02-05T23:36:50.816047
7,145,33,17,-1,0.7438036461568225,74.38036461568225,2026-02-05T23:37:02.272263
7,145,33,18,-1,0.703483453157792,70.3483453157792,2026-02-05T23:37:02.783581
7,147,31,22,-1,0.5953874708043866,59.538747080438654,2026-02-05T23:37:30.850818
7,148,30,23,-1,0.6391114250523436,63.911142505234366,2026-02-05T23:37:46.808058
7,148,29,22,-1,0.6287536554110368,62.875365541103676,2026-02-05T23:37:47.792023
7,149,28,21,-1,0.6108603085224407,61.086030852244065,2026-02-05T23:38:01.907067
7,149,28,20,-1,0.5586091816841615,55.86091816841615,2026-02-05T23:38:02.832847
7,150,29,21,-1,0.5855925607183181,58.55925607183181,2026-02-05T23:38:17.193288
7,151,28,18,-1,0.5088469841439109,50.88469841439109,2026-02-05T23:38:30.772605
7,160,24,26,-1,0.7783885083451944,77.83885083451943,2026-02-05T23:40:13.836978
9,162,88,56,-1,0.5255813142359257,52.55813142359257,2026-02-05T23:40:45.855876
9,167,90,54,-1,1.2024072727272728,120.24072727272727,2026-02-05T23:41:34.809876
9,168,91,55,-1,0.7981999999999999,79.82,2026-02-05T23:41:49.703741
9,168,92,56,-1,1.0681615384615386,106.81615384615385,2026-02-05T23:41:50.094732
9,169,92,55,-1,1.0154342857142857,101.54342857142856,2026-02-05T23:42:06.152434
9,169,93,55,-1,0.8719813403089642,87.19813403089643,2026-02-05T23:42:06.910086
9,170,93,56,-1,0.8757481121435443,87.57481121435443,2026-02-05T23:42:24.775249
9,170,92,55,-1,0.5629858823529412,56.29858823529412,2026-02-05T23:42:25.773077
9,171,91,56,-1,0.7580622976699286,75.80622976699286,2026-02-05T23:42:40.878575
9,171,91,55,-1,0.5035631578947368,50.35631578947368,2026-02-05T23:42:41.795690
9,173,91,53,-1,0.6471984408523038,64.71984408523038,2026-02-05T23:43:03.844032
9,174,93,53,-1,0.6356870876206323,63.56870876206323,2026-02-05T23:43:17.822010
9,175,92,52,-1,0.6604018062845641,66.04018062845641,2026-02-05T23:43:27.069827
9,175,92,51,-1,0.680476170549096,68.04761705490961,2026-02-05T23:43:27.779815
9,176,93,50,-1,0.6726220777758369,67.2622077775837,2026-02-05T23:43:38.899633
9,176,93,51,-1,0.6581762821748611,65.81762821748612,2026-02-05T23:43:40.219601
9,178,94,51,-1,0.5737801427672765,57.378014276727654,2026-02-05T23:44:07.562029
9,178,94,50,-1,0.6035148512869527,60.35148512869527,2026-02-05T23:44:07.801390
9,179,95,49,-1,0.6094850571733441,60.948505717334406,2026-02-05T23:44:22.529670
9,179,96,49,-1,0.6041362069174899,60.41362069174899,2026-02-05T23:44:22.824218
9,180,95,48,-1,0.5962679333176568,59.62679333176568,2026-02-05T23:44:38.662761
9,180,96,48,-1,0.5894612278579853,58.94612278579852,2026-02-05T23:44:38.794528
9,181,97,49,-1,0.5826697387319372,58.26697387319372,2026-02-05T23:44:46.993123
9,181,97,50,-1,0.5762076756685609,57.62076756685609,2026-02-05T23:44:47.783972
9,182,96,50,-1,0.5697425248001199,56.974252480011984,2026-02-05T23:44:59.759794
