episode,total_steps,total_reward,average_reward,minerals_collected,exploration_rate,epsilon,memory_size,loss_avg,timestamp
0,3,965.3629721119403,321.78765737064674,3,51.0,0.48999999999999994,3,0,2026-02-04T14:27:47.879064
1,3,315.8225145354271,105.27417151180903,3,51.0,0.48999999999999994,6,0,2026-02-04T14:27:57.328639
0,0,0,0,0,0.0,1.0,50,0,2026-02-05T22:16:22.762700
0,0,0,0,0,1.9820956648050503,0.9801790433519495,50,0,2026-02-05T22:36:18.077377
0,0,0,0,0,0.0,1.0,3,0,2026-02-05T23:09:48.302395
1,0,0,0,0,2.178131473475442,0.9782186852652456,53,0,2026-02-05T23:12:14.925550
2,0,0,0,0,6.953618946014595,0.930463810539854,103,0,2026-02-05T23:16:41.493373
3,0,0,0,0,11.49597571941776,0.8850402428058224,153,0,2026-02-05T23:20:51.538382
4,0,0,0,0,15.816582814615698,0.841834171853843,203,0,2026-02-05T23:25:14.979330
5,0,0,0,0,19.9262656515913,0.800737343484087,253,0,2026-02-05T23:30:28.777075
6,0,0,0,0,23.83532117281728,0.7616467882718272,303,0,2026-02-05T23:35:12.138758
7,0,0,0,0,27.55354364257675,0.7244645635742325,353,0,2026-02-05T23:41:00.911658
8,0,0,0,0,27.698436555291593,0.723015634447084,355,0,2026-02-05T23:41:05.717679
9,0,0,0,0,27.987353602816654,0.7201264639718334,359,0,2026-02-05T23:41:37.593917
10,0,0,0,0,31.5028813259545,0.684971186740455,409,0,2026-02-05T23:47:20.055920
11,0,0,0,0,31.63987556330259,0.6836012443669741,411,0,2026-02-05T23:47:33.080904
12,0,0,0,0,34.97709374146639,0.6502290625853361,461,0,2026-02-05T23:51:17.131059
13,0,0,0,0,38.15139493753807,0.6184860506246193,511,0,2026-02-05T23:57:06.738242
14,0,0,0,0,41.17073246521702,0.5882926753478298,561,0,2026-02-06T00:00:56.536475
15,0,0,0,0,41.28839100028658,0.5871160899971342,563,0,2026-02-06T00:01:07.503375
16,0,0,0,0,41.989416991521075,0.5801058300847892,576,0,2026-02-06T00:02:34.452979
17,0,0,0,0,42.10543815753803,0.5789456184246197,578,0,2026-02-06T00:02:45.214268
18,0,0,0,0,44.93174641530614,0.5506825358469386,628,0,2026-02-06T00:08:16.509154
19,0,0,0,0,45.04188292247553,0.5495811707752447,630,0,2026-02-06T00:08:29.735341
20,0,0,0,0,45.15179915663058,0.5484820084336942,632,0,2026-02-06T00:08:45.316435
21,0,0,0,0,45.26149555831732,0.5473850444168268,634,0,2026-02-06T00:08:55.917032
22,0,0,0,0,45.37097256720068,0.5462902743279932,636,0,2026-02-06T00:09:12.560392
23,0,0,0,0,48.037863315373144,0.5196213668462686,686,0,2026-02-06T00:14:15.470178
24,0,0,0,0,50.57456125951965,0.4942543874048035,736,0,2026-02-06T00:19:49.109646
25,0,0,0,0,52.98742217789307,0.47012577822106927,786,0,2026-02-06T00:25:07.705693
26,0,0,0,0,53.08144733353728,0.46918552666462715,789,0,2026-02-06T00:25:22.914949
27,0,0,0,0,53.17528443887021,0.46824715561129787,792,0,2026-02-06T00:25:38.716404
28,0,0,0,0,55.4611827347789,0.445388172652211,842,0,2026-02-06T00:30:39.167630
29,0,0,0,0,56.16883536707513,0.43831164632924874,859,0,2026-02-06T00:32:22.957081
30,0,0,0,0,56.25649769634098,0.43743502303659026,861,0,2026-02-06T00:32:40.517708
31,0,0,0,0,58.39197670939489,0.4160802329060512,911,0,2026-02-06T00:38:06.015809
32,0,0,0,0,60.42320548241229,0.39576794517587716,961,0,2026-02-06T00:43:17.100012
33,0,0,0,0,60.50235907144745,0.3949764092855254,963,0,2026-02-06T00:43:29.094512
34,0,0,0,0,61.28524009999256,0.38714759900007434,984,0,2026-02-06T00:45:28.652290
35,0,0,0,0,61.36266961979258,0.3863733038020742,986,0,2026-02-06T00:45:43.675323
36,0,0,0,0,61.43994428055299,0.38560055719447006,988,0,2026-02-06T00:45:57.013485
37,0,0,0,0,61.517064391991894,0.3848293560800811,990,0,2026-02-06T00:46:09.988189
38,0,0,0,0,63.39573201172504,0.3660426798827497,1000,0,2026-02-06T00:51:52.017726
39,0,0,0,0,63.46894054770158,0.3653105945229842,1000,0,2026-02-06T00:52:05.411482
40,0,0,0,0,65.25232108827808,0.3474767891172193,1000,0,2026-02-06T00:58:04.549317
41,0,0,0,0,65.66721392577988,0.3433278607422012,1000,0,2026-02-06T00:58:55.096626
42,0,0,0,0,65.73587949792832,0.34264120502071677,1000,0,2026-02-06T00:59:06.731446
43,0,0,0,0,65.9410533256077,0.34058946674392304,1000,0,2026-02-06T00:59:38.397496
44,0,0,0,0,66.00917121895648,0.3399082878104352,1000,0,2026-02-06T00:59:43.306300
45,0,0,0,0,67.66854227238392,0.32331457727616086,1000,0,2026-02-06T01:04:07.044758
46,0,0,0,0,67.73320518783915,0.32266794812160854,1000,0,2026-02-06T01:04:20.413859
47,0,0,0,0,69.18527637177444,0.3081472362822556,1000,0,2026-02-06T01:09:21.683233
48,0,0,0,0,70.68959569088913,0.2931040430911087,1000,0,2026-02-06T01:15:11.989649
49,0,0,0,0,72.12047684968914,0.2787952315031086,1000,0,2026-02-06T01:19:19.911704
50,0,0,0,0,72.17623589598976,0.27823764104010235,1000,0,2026-02-06T01:19:36.797496
51,0,0,0,0,72.23188342419779,0.27768116575802215,1000,0,2026-02-06T01:19:48.917995
52,0,0,0,0,73.58747287307234,0.26412527126927654,1000,0,2026-02-06T01:25:21.918343
53,0,0,0,0,73.6402979273262,0.26359702072673796,1000,0,2026-02-06T01:25:40.852468
54,0,0,0,0,73.69301733147155,0.2630698266852845,1000,0,2026-02-06T01:25:56.193956
55,0,0,0,0,73.7456312968086,0.26254368703191394,1000,0,2026-02-06T01:26:13.553862
56,0,0,0,0,73.90284266663826,0.26097157333361737,1000,0,2026-02-06T01:26:48.273889
57,0,0,0,0,73.95503698130499,0.2604496301869501,1000,0,2026-02-06T01:27:01.480139
58,0,0,0,0,74.00712690734238,0.2599287309265762,1000,0,2026-02-06T01:27:17.866738
59,0,0,0,0,74.05911265352769,0.259408873464723,1000,0,2026-02-06T01:27:30.842193
60,0,0,0,0,75.32550006173835,0.2467449993826165,1000,0,2026-02-06T01:33:28.507604
61,0,0,0,0,75.37484906161487,0.24625150938385126,1000,0,2026-02-06T01:33:42.092591
62,0,0,0,0,76.57700458764387,0.23422995412356126,1000,0,2026-02-06T01:38:45.819126
63,0,0,0,0,77.72047304562697,0.22279526954373036,1000,0,2026-02-06T01:43:52.908790
64,0,0,0,0,77.80950203533664,0.2219049796466336,1000,0,2026-02-06T01:44:06.239103
65,0,0,0,0,78.89280218729522,0.21107197812704787,1000,0,2026-02-06T01:47:41.925973
66,0,0,0,0,79.9232175765458,0.20076782423454212,1000,0,2026-02-06T01:52:24.663860
67,0,0,0,0,79.96337114139268,0.20036628858607303,1000,0,2026-02-06T01:52:33.277050
68,0,0,0,0,80.00344439910991,0.19996555600890087,1000,0,2026-02-06T01:52:45.189138
69,0,0,0,0,80.04343751031169,0.19956562489688306,1000,0,2026-02-06T01:52:53.623195
70,0,0,0,0,80.08335063529107,0.1991664936470893,1000,0,2026-02-06T01:53:05.575386
71,0,0,0,0,80.12318393402049,0.1987681606597951,1000,0,2026-02-06T01:53:14.659186
72,0,0,0,0,81.09353430195803,0.1890646569804198,1000,0,2026-02-06T01:57:22.978939
73,0,0,0,0,81.1313472333541,0.18868652766645896,1000,0,2026-02-06T01:57:31.943463
74,0,0,0,0,81.16908453888739,0.18830915461112605,1000,0,2026-02-06T01:57:41.185282
75,0,0,0,0,81.20674636980962,0.1879325363019038,1000,0,2026-02-06T01:57:49.624728
76,0,0,0,0,81.28184421131586,0.18718155788684138,1000,0,2026-02-06T01:58:06.774864
77,0,0,0,0,82.19563087092828,0.1780436912907172,1000,0,2026-02-06T02:02:05.150452
78,0,0,0,0,82.3376390885567,0.17662360911443298,1000,0,2026-02-06T02:02:46.204931
79,0,0,0,0,83.19988374344378,0.16800116256556216,1000,0,2026-02-06T02:06:44.132022
80,0,0,0,0,83.82692608052083,0.1617307391947916,1000,0,2026-02-06T02:09:57.239662
81,0,0,0,0,83.8592722283598,0.16140727771640204,1000,0,2026-02-06T02:10:06.459041
82,0,0,0,0,83.89155368390307,0.16108446316096922,1000,0,2026-02-06T02:10:17.318916
83,0,0,0,0,84.33677335712642,0.1566322664287359,1000,0,2026-02-06T02:12:46.156142
84,0,0,0,0,85.07156701090703,0.14928432989092968,1000,0,2026-02-06T02:17:21.523618
85,0,0,0,0,85.80034622763937,0.1419965377236063,1000,0,2026-02-06T02:21:26.100410
86,0,0,0,0,86.30293557933683,0.13697064420663166,1000,0,2026-02-06T02:24:13.403878
87,0,0,0,0,86.97160159989748,0.13028398400102514,1000,0,2026-02-06T02:28:13.669131
88,0,0,0,0,87.6076245494087,0.12392375450591296,1000,0,2026-02-06T02:32:19.290215
89,0,0,0,0,88.21259800381837,0.11787401996181623,1000,0,2026-02-06T02:36:14.920815
90,0,0,0,0,88.42308175128039,0.11576918248719602,1000,0,2026-02-06T02:37:51.374463
91,0,0,0,0,88.44623558777784,0.11553764412222163,1000,0,2026-02-06T02:38:01.410495
92,0,0,0,0,89.01026956139054,0.10989730438609453,1000,0,2026-02-06T02:42:10.250313
93,0,0,0,0,89.54676841207373,0.10453231587926269,1000,0,2026-02-06T02:46:19.549223
94,0,0,0,0,89.56767487524958,0.10432325124750416,1000,0,2026-02-06T02:46:30.894230
95,0,0,0,0,90.03715065625852,0.0996284934374148,1000,0,2026-02-06T02:50:32.369795
96,0,0,0,0,90.35122401240761,0.09648775987592385,1000,0,2026-02-06T02:53:10.861180
97,0,0,0,0,90.3705215643828,0.096294784356172,1000,0,2026-02-06T02:53:20.907769
98,0,0,0,0,90.8406153617008,0.09159384638299199,1000,0,2026-02-06T02:57:30.483553
99,0,0,0,0,90.8589341309774,0.09141065869022601,1000,0,2026-02-06T02:57:40.500320
100,0,0,0,0,91.30518450628419,0.08694815493715811,1000,0,2026-02-06T03:01:38.218120
101,0,0,0,0,91.32257413727162,0.0867742586272838,1000,0,2026-02-06T03:01:46.327041
102,0,0,0,0,91.74619044235284,0.08253809557647163,1000,0,2026-02-06T03:05:59.697810
103,0,0,0,0,92.03832973399435,0.07961670266005645,1000,0,2026-02-06T03:08:58.062922
104,0,0,0,0,92.05425307452637,0.07945746925473633,1000,0,2026-02-06T03:09:07.763586
105,0,0,0,0,92.07014456837732,0.07929855431622686,1000,0,2026-02-06T03:09:20.649117
106,0,0,0,0,92.08600427924057,0.0791399572075944,1000,0,2026-02-06T03:09:30.089789
107,0,0,0,0,92.2428672453346,0.07757132754665408,1000,0,2026-02-06T03:11:02.598255
108,0,0,0,0,92.25838151084392,0.07741618489156077,1000,0,2026-02-06T03:11:12.805483
109,0,0,0,0,92.41182779530324,0.07588172204696765,1000,0,2026-02-06T03:12:52.848616
110,0,0,0,0,92.78226869823051,0.07217731301769488,1000,0,2026-02-06T03:17:02.929487
111,0,0,0,0,93.13462534333394,0.06865374656666072,1000,0,2026-02-06T03:20:58.424340
112,0,0,0,0,93.14835609264726,0.0685164390735274,1000,0,2026-02-06T03:21:07.320889
113,0,0,0,0,93.16205938046195,0.06837940619538035,1000,0,2026-02-06T03:21:18.511103
114,0,0,0,0,93.49587532835216,0.06504124671647851,1000,0,2026-02-06T03:25:17.351069
115,0,0,0,0,93.50888357769544,0.06491116422304556,1000,0,2026-02-06T03:25:26.349754
116,0,0,0,0,93.82576819280688,0.06174231807193126,1000,0,2026-02-06T03:29:42.790443
117,0,0,0,0,94.1271830716262,0.05872816928373788,1000,0,2026-02-06T03:33:40.398502
118,0,0,0,0,94.4138834188227,0.05586116581177289,1000,0,2026-02-06T03:37:35.218326
119,0,0,0,0,94.66526999021447,0.053347300097855245,1000,0,2026-02-06T03:41:13.297193
120,0,0,0,0,94.83344442510896,0.05166555574891037,1000,0,2026-02-06T03:43:48.354093
121,0,0,0,0,95.0856663648011,0.049143336351988975,1000,0,2026-02-06T03:47:43.710392
122,0,0,0,0,95.32557528357633,0.04674424716423679,1000,0,2026-02-06T03:51:54.876153
123,0,0,0,0,95.33492413300917,0.04665075866990831,1000,0,2026-02-06T03:52:03.426633
124,0,0,0,0,95.5626647363817,0.04437335263618295,1000,0,2026-02-06T03:56:13.143524
125,0,0,0,0,95.77928745359263,0.0422071254640737,1000,0,2026-02-06T04:00:18.236741
126,0,0,0,0,95.88771872636346,0.041122812736365394,1000,0,2026-02-06T04:02:21.222986
127,0,0,0,0,95.89594328891073,0.04104056711089266,1000,0,2026-02-06T04:02:31.019937
128,0,0,0,0,95.90415140233291,0.04095848597667088,1000,0,2026-02-06T04:02:40.438849
129,0,0,0,0,96.07277972087644,0.03927220279123571,1000,0,2026-02-06T04:06:06.646488
130,0,0,0,0,96.26449954311404,0.037355004568859575,1000,0,2026-02-06T04:10:14.927403
131,0,0,0,0,96.27197054402782,0.03728029455972186,1000,0,2026-02-06T04:10:24.395300
132,0,0,0,0,96.27942660293975,0.037205733970602416,1000,0,2026-02-06T04:10:35.310555
133,0,0,0,0,96.35317192694878,0.0364682807305122,1000,0,2026-02-06T04:12:05.953429
134,0,0,0,0,96.5312035065913,0.034687964934087,1000,0,2026-02-06T04:16:04.736694
135,0,0,0,0,96.59314466082972,0.034068553391702776,1000,0,2026-02-06T04:17:28.356347
136,0,0,0,0,96.67401574832951,0.033259842516704864,1000,0,2026-02-06T04:19:30.143309
137,0,0,0,0,96.71372853165434,0.03286271468345658,1000,0,2026-02-06T04:20:29.010849
138,0,0,0,0,96.72030107459103,0.032796989254089665,1000,0,2026-02-06T04:20:39.177027
139,0,0,0,0,96.77241039675566,0.032275896032443414,1000,0,2026-02-06T04:21:58.740030
140,0,0,0,0,96.92997550922958,0.030700244907704188,1000,0,2026-02-06T04:26:13.080935
141,0,0,0,0,97.07984857664178,0.02920151423358225,1000,0,2026-02-06T04:30:06.724031
142,0,0,0,0,97.22240511078101,0.02777594889218997,1000,0,2026-02-06T04:34:10.494439
143,0,0,0,0,97.35800229162669,0.026419977083733105,1000,0,2026-02-06T04:38:22.811434
144,0,0,0,0,97.48697986227484,0.0251302013772516,1000,0,2026-02-06T04:42:37.361340
145,0,0,0,0,97.60966098017529,0.02390339019824708,1000,0,2026-02-06T04:46:46.287463
146,0,0,0,0,97.61444165821494,0.023855583417850584,1000,0,2026-02-06T04:46:56.387741
147,0,0,0,0,97.69887725359318,0.023011227464068116,1000,0,2026-02-06T04:49:48.268362
148,0,0,0,0,97.703479499086,0.02296520500913998,1000,0,2026-02-06T04:49:57.284965
149,0,0,0,0,97.80682757757062,0.021931724224293913,1000,0,2026-02-06T04:53:40.558994
150,0,0,0,0,97.81121392241546,0.021887860775845324,1000,0,2026-02-06T04:53:50.344782
151,0,0,0,0,97.91806651735173,0.0208193348264827,1000,0,2026-02-06T04:57:49.512661
152,0,0,0,0,98.01970276101386,0.019802972389861406,1000,0,2026-02-06T05:01:31.752859
153,0,0,0,0,98.02366335549183,0.019763366445081684,1000,0,2026-02-06T05:01:38.018903
154,0,0,0,0,98.05116660850565,0.019488333914943538,1000,0,2026-02-06T05:02:47.128677
155,0,0,0,0,98.14630514539246,0.01853694854607546,1000,0,2026-02-06T05:06:38.210743
156,0,0,0,0,98.19753922478343,0.018024607752165717,1000,0,2026-02-06T05:08:51.725349
