episode,step,position_x,position_y,mineral_type,concentration,reward_earned,timestamp
10,173,15,72,-1,0.7607920112133988,76.07920112133988,2026-02-05T23:43:52.642338
10,174,17,72,-1,0.7771892568472945,77.71892568472944,2026-02-05T23:44:08.247007
10,174,16,73,-1,0.7532357365409923,75.32357365409923,2026-02-05T23:44:08.804366
10,175,17,71,-1,0.7164671777976426,71.64671777976426,2026-02-05T23:44:20.295165
10,176,18,72,-1,0.6897864153527916,68.97864153527917,2026-02-05T23:44:32.297995
10,177,18,73,-1,0.6632344901034797,66.32344901034797,2026-02-05T23:44:42.291884
10,178,19,74,-1,0.6513685608938394,65.13685608938394,2026-02-05T23:44:56.694300
10,178,20,75,-1,0.6403048275862069,64.03048275862069,2026-02-05T23:44:57.539727
10,180,21,75,-1,0.7152234096682732,71.52234096682733,2026-02-05T23:45:26.485163
10,180,22,74,-1,0.6091887761293333,60.91887761293333,2026-02-05T23:45:27.353401
10,181,23,73,-1,0.730641966835593,73.0641966835593,2026-02-05T23:45:38.740317
10,181,24,73,-1,0.6043254835905124,60.43254835905124,2026-02-05T23:45:39.315440
10,182,25,73,-1,0.8011578209972382,80.11578209972382,2026-02-05T23:45:49.496447
10,182,25,72,-1,0.5976475675675675,59.76475675675675,2026-02-05T23:45:50.321335
10,183,23,72,-1,0.5839451302440071,58.39451302440071,2026-02-05T23:46:04.335452
10,184,24,72,-1,0.5715834040994143,57.15834040994143,2026-02-05T23:46:16.306505
10,185,24,74,-1,0.5603710882401692,56.037108824016926,2026-02-05T23:46:28.357942
10,186,24,75,-1,0.5551572749742154,55.515727497421544,2026-02-05T23:46:43.288034
10,186,23,74,-1,0.5500666460453633,55.006664604536326,2026-02-05T23:46:44.304350
10,187,22,75,-1,0.5408152757947344,54.081527579473445,2026-02-05T23:46:56.572431
12,190,8,54,-1,0.5686015641391278,56.860156413912776,2026-02-05T23:47:33.183459
12,191,9,53,-1,0.545645642914772,54.564564291477204,2026-02-05T23:47:39.396877
12,195,11,50,-1,1.0345636363636364,103.45636363636363,2026-02-05T23:48:14.322928
12,196,10,50,-1,1.2797,127.97,2026-02-05T23:48:26.274078
12,196,9,49,-1,1.206643076923077,120.66430769230769,2026-02-05T23:48:26.353353
12,197,9,50,-1,1.1440257142857144,114.40257142857143,2026-02-05T23:48:36.542051
12,197,9,51,-1,0.9979482689059993,99.79482689059994,2026-02-05T23:48:37.350186
12,198,9,50,-1,0.7107800000000001,71.078,2026-02-05T23:48:44.927288
12,198,10,51,-1,0.7640289804635318,76.40289804635319,2026-02-05T23:48:45.359085
12,199,10,52,-1,0.8404088494650245,84.04088494650244,2026-02-05T23:48:52.857819
12,199,11,53,-1,0.5983,59.830000000000005,2026-02-05T23:48:53.323727
12,200,10,53,-1,0.768823242653157,76.8823242653157,2026-02-05T23:48:59.493481
12,200,11,52,-1,0.5411771428571428,54.117714285714285,2026-02-05T23:49:00.325548
12,201,11,51,-1,0.5165018181818182,51.65018181818182,2026-02-05T23:49:13.797613
12,201,12,50,-1,0.7714508425041341,77.1450842504134,2026-02-05T23:49:14.371663
12,203,13,50,-1,0.7605595316996225,76.05595316996225,2026-02-05T23:49:33.842931
