episode,total_steps,total_reward,average_reward,minerals_collected,exploration_rate,epsilon,memory_size,loss_avg,timestamp
0,0,0,0,0,0.0,1.0,50,0,2026-02-05T22:16:23.608842
0,0,0,0,0,1.9820956648050503,0.9801790433519495,50,0,2026-02-05T22:36:26.164481
0,0,0,0,0,1.9820956648050503,0.9801790433519495,50,0,2026-02-05T23:11:57.519019
1,0,0,0,0,6.7671532525196305,0.9323284674748037,100,0,2026-02-05T23:16:26.872088
2,0,0,0,0,11.31861294530838,0.8868138705469162,150,0,2026-02-05T23:20:50.066305
3,0,0,0,0,15.647878571759222,0.8435212142824078,200,0,2026-02-05T23:24:03.495101
4,0,0,0,0,19.765797246083473,0.8023420275391653,250,0,2026-02-05T23:27:25.694209
5,0,0,0,0,23.682686545909103,0.763173134540909,300,0,2026-02-05T23:32:07.565962
6,0,0,0,0,23.83532117281728,0.7616467882718272,302,0,2026-02-05T23:32:16.446734
7,0,0,0,0,27.55354364257675,0.7244645635742325,352,0,2026-02-05T23:36:24.903380
8,0,0,0,0,31.090249186807085,0.6890975081319292,402,0,2026-02-05T23:40:38.396283
9,0,0,0,0,34.45429913495308,0.6554570086504692,452,0,2026-02-05T23:44:25.639812
10,0,0,0,0,36.26590994754705,0.6373409005245295,481,0,2026-02-05T23:46:24.604275
11,0,0,0,0,36.39337812765196,0.6360662187234805,483,0,2026-02-05T23:46:33.262389
12,0,0,0,0,39.498538870309105,0.6050146112969089,533,0,2026-02-05T23:50:27.206922
13,0,0,0,0,42.45211125700719,0.5754788874299281,583,0,2026-02-05T23:55:52.225755
14,0,0,0,0,45.26149555831732,0.5473850444168268,633,0,2026-02-06T00:00:10.392223
15,0,0,0,0,45.37097256720068,0.5462902743279932,635,0,2026-02-06T00:00:23.842364
16,0,0,0,0,45.48023062206629,0.5451976937793371,637,0,2026-02-06T00:00:36.776061
17,0,0,0,0,45.69809162050051,0.5430190837949949,641,0,2026-02-06T00:01:03.765091
18,0,0,0,0,48.34901300553778,0.5165098699446222,691,0,2026-02-06T00:06:14.800961
19,0,0,0,0,48.4523149795267,0.515476850204733,693,0,2026-02-06T00:06:24.369494
20,0,0,0,0,48.55541034956765,0.5144458965043235,695,0,2026-02-06T00:06:36.139226
21,0,0,0,0,49.97728201514141,0.5002271798485859,724,0,2026-02-06T00:08:37.487910
22,0,0,0,0,50.07732745111113,0.4992267254888887,726,0,2026-02-06T00:08:46.812586
23,0,0,0,0,50.673412137000604,0.4932658786299939,739,0,2026-02-06T00:09:29.348337
24,0,0,0,0,50.87052118210116,0.4912947881789884,743,0,2026-02-06T00:09:43.405312
25,0,0,0,0,53.26893386999247,0.46731066130007526,793,0,2026-02-06T00:14:15.840726
26,0,0,0,0,53.36239600225249,0.4663760399774751,795,0,2026-02-06T00:14:28.700619
27,0,0,0,0,53.45567121024799,0.46544328789752015,797,0,2026-02-06T00:14:45.200430
28,0,0,0,0,53.54875986782749,0.4645124013217251,800,0,2026-02-06T00:14:59.895471
29,0,0,0,0,53.641662348091835,0.46358337651908166,802,0,2026-02-06T00:15:13.194824
30,0,0,0,0,53.734379023395654,0.4626562097660435,804,0,2026-02-06T00:15:28.177196
31,0,0,0,0,55.81642576581585,0.4418357423418416,850,0,2026-02-06T00:20:29.558654
32,0,0,0,0,55.90479291428421,0.44095207085715793,852,0,2026-02-06T00:20:43.308989
33,0,0,0,0,55.99298332845564,0.44007016671544363,854,0,2026-02-06T00:20:53.161391
34,0,0,0,0,58.14132663843645,0.4185867336156355,904,0,2026-02-06T00:26:26.261137
35,0,0,0,0,60.184791696569675,0.3981520830343033,954,0,2026-02-06T00:32:10.610204
36,0,0,0,0,60.26442211317653,0.39735577886823464,956,0,2026-02-06T00:32:19.276840
37,0,0,0,0,60.343893268950175,0.39656106731049817,958,0,2026-02-06T00:32:32.395226
38,0,0,0,0,60.42320548241229,0.39576794517587716,960,0,2026-02-06T00:32:43.892830
39,0,0,0,0,60.50235907144745,0.3949764092855254,962,0,2026-02-06T00:32:55.720646
40,0,0,0,0,62.430562777738444,0.37569437222261565,1000,0,2026-02-06T00:37:49.641697
41,0,0,0,0,62.505701652182964,0.3749429834781704,1000,0,2026-02-06T00:37:56.319120
42,0,0,0,0,62.580690248878604,0.37419309751121405,1000,0,2026-02-06T00:38:11.299440
43,0,0,0,0,63.24887451428411,0.36751125485715885,1000,0,2026-02-06T00:39:55.261883
44,0,0,0,0,65.04299828233668,0.3495700171766331,1000,0,2026-02-06T00:45:01.139630
45,0,0,0,0,66.74953615873154,0.3325046384126845,1000,0,2026-02-06T00:50:35.142514
46,0,0,0,0,67.86214329990854,0.3213785670009146,1000,0,2026-02-06T00:54:27.029762
47,0,0,0,0,69.43105559301128,0.30568944406988713,1000,0,2026-02-06T01:00:23.152019
48,0,0,0,0,69.49219348182527,0.30507806518174735,1000,0,2026-02-06T01:00:33.506490
49,0,0,0,0,70.98152966029632,0.2901847033970368,1000,0,2026-02-06T01:04:18.415253
50,0,0,0,0,72.39815912839862,0.2760184087160138,1000,0,2026-02-06T01:07:41.778771
51,0,0,0,0,73.7456312968086,0.26254368703191394,1000,0,2026-02-06T01:11:16.620574
52,0,0,0,0,73.79814003421498,0.2620185996578501,1000,0,2026-02-06T01:11:24.502731
53,0,0,0,0,75.07726765576419,0.24922732344235804,1000,0,2026-02-06T01:14:58.083048
54,0,0,0,0,75.12711312045268,0.24872886879547332,1000,0,2026-02-06T01:15:02.208148
55,0,0,0,0,75.81457225532696,0.24185427744673038,1000,0,2026-02-06T01:17:17.049599
56,0,0,0,0,76.38867994369029,0.23611320056309712,1000,0,2026-02-06T01:19:06.517267
57,0,0,0,0,77.54134207167291,0.2245865792832709,1000,0,2026-02-06T01:22:46.477091
58,0,0,0,0,77.58625938752957,0.22413740612470434,1000,0,2026-02-06T01:23:01.595944
59,0,0,0,0,77.63108686875451,0.22368913131245494,1000,0,2026-02-06T01:23:15.547483
60,0,0,0,0,77.94237891467303,0.22057621085326973,1000,0,2026-02-06T01:24:59.247902
61,0,0,0,0,78.24933893349288,0.21750661066507115,1000,0,2026-02-06T01:26:34.982888
62,0,0,0,0,78.29284025562589,0.21707159744374102,1000,0,2026-02-06T01:26:47.524426
63,0,0,0,0,78.33625457511465,0.21663745424885353,1000,0,2026-02-06T01:27:01.785393
64,0,0,0,0,78.42282290183249,0.2157717709816751,1000,0,2026-02-06T01:27:25.043383
65,0,0,0,0,78.55202721091374,0.21447972789086267,1000,0,2026-02-06T01:28:09.056737
66,0,0,0,0,78.63773331017893,0.21362266689821077,1000,0,2026-02-06T01:28:32.876421
